,Countries,Raw_Score_08,GHI_08,Average dietary energy supply adequacy,Average value of food production,"Share of Dietary Energy Supply Derived from Cereals, Roots and Tubers",Average protein supply,Average supply of protein of animal origin,Percent of paved roads over total roads,Road density (per 100 square km of land area),Rail lines density (per 100 square km of land area),Gross domestic product per capita (in purchasing power equivalent),Domestic food price level index,Prevalence of undernourishment,Depth of the food deficit,Prevalence of food inadequacy,Cereal import dependecy ratio,Percent of arable land equipped for irrigation,Value of food imports in total merchandise exports,Political stability and absence of violence/terrorism,Domestic food price volatility index,Per capita food production variability,Per capita food supply variability,Percentage of population with access to improved water sources,Percentage of population with access to sanitation facilities,Percentage of children under 5 years of age affected by wasting,Percentage of children under 5 years of age who are stunted,Percentage of children under 5 years of age who are underweight,Prevalence of anaemia among pregnant women,Prevalence of anaemia among children under 5 years of age,undernourished,wasting,stunting,underfive,score
46,Ghana,13.9,2,132,266,65,59,15,16.1,50.6,0.4,2867.7,7.11,7.3,47,12.2,25.8,0.7,17,-0.01,12.4,11,19,80.7,13,8.7,28.6,14.3,62,77.3,11.6,6.1,28.1,8.8,23.3
47,Guatemala,14.6,2,117,261,47,62,18,42.4,14.3,,6733.7,6.31,15.2,96,21.8,42.2,26,17,-0.73,7.5,11,31,89.4,60.2,,,,32.3,44.3,16.2,2.4,4.90.1,4.1,23.9
48,Guinea,20.9,3,116,169,63,54,9,,17.6,,1216.4,8.79,18.9,133,25.8,16.3,3.3,24,-2.1,11.3,2.6,26,70.8,16.8,,,,62.2,77.2,23.1,10.8,39.3,13.7,38
49,Guinea-Bissau,27.5,3,106,184,65,44,9,,,,1288.4,,23.8,165,32.8,27,8.7,53,-0.69,,3.6,23,66.1,17.6,4.8,27.7,16.6,51.4,73.6,25.4,8.9,47.7,15.7,41.8
50,Guyana,8.6,1,114,422,50,74,32,,,,5400.7,,11.7,78,19.2,-39.8,34.4,18,-0.65,,32,29,92.6,82.4,,,,32.7,42.5,10.1,8.3,18.2,4.4,17.3
51,Haiti,24.3,3,91,101,54,48,9,,,,1588.7,10.1,52.3,524,59,58.7,9.3,143,-1.39,10.2,2.9,17,59.9,25.1,,,,49.1,60.4,4.97.6,10.3,29.7,9,45.4
52,Honduras,11.4,2,118,213,46,65,25,,,,4429.3,5.33,15,104,21.8,54.2,8.8,15,-0.54,12,3.9,20,86.6,74.7,,,,22.9,38.5,16.7,1.4,29.9,3.1,17.8
53,India,23.7,3,108,169,60,59,12,49.5,125,1.9,3828.4,4.82,16.2,115,25.4,-2.7,42.2,5,-1.1,6.8,5.6,52,88.4,33.6,,,,54.4,62,21.2,20,47.9,7.4.9,38.4.9
54,Indonesia,11.3,2,115,220,70,58,16,59.1,22.9,0.2,7819.1,5.85,15.9,113,24.3,10.1,28.8,5,-1.09,24.7,2.9,12,83.2,55.1,,,,32.4,33.7,18.8,14.4,28.6,4.1,26.4.9
55,"Iran, Islamic Republic of",4.9,0,126,321,53,85,23,76.3,10.4,0.4,16446.1,3.92,6.5,48,12.2,34,59.3,7,-0.98,16.8,8.2,26,95.5,86.7,,,,26.7,34.6,6.4.9,4.8,7.1,2.6,9.4.9
